"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16673","Runs Cucumber Scenarios","Suite","Sat Aug 31 16:49:28 IST 2024","broken","Sat Aug 31 16:49:45 IST 2024","com.App.Testcases.testrunner","Test","com.App.Testcases.testrunner","runScenario"
"","22285","Filter result by Property","","Sat Aug 31 16:52:05 IST 2024","passed","Sat Aug 31 16:52:27 IST 2024","","Hotel Search and Filtering","Filter result by Property",""
"","44","login with valid crdentials","","Sat Aug 31 16:48:57 IST 2024","broken","Sat Aug 31 16:48:57 IST 2024","","Login With multiple Data","login with valid crdentials",""
"","15722","Trying to register and sign into the account","","Sat Aug 31 16:49:29 IST 2024","broken","Sat Aug 31 16:49:45 IST 2024","","Register and signIn into the Application","Trying to register and sign into the account",""
"","285","Runs Cucumber Scenarios","Suite","Fri Aug 30 12:02:31 IST 2024","passed","Fri Aug 30 12:02:31 IST 2024","com.App.Testcases.testrunner","Test","com.App.Testcases.testrunner","runScenario"
"","871","Runs Cucumber Scenarios","Suite","Sat Aug 31 16:48:57 IST 2024","broken","Sat Aug 31 16:48:58 IST 2024","com.App.Testcases.testrunner","Test","com.App.Testcases.testrunner","runScenario"
"","24039","Filter result by properties","","Sat Aug 31 16:43:30 IST 2024","passed","Sat Aug 31 16:43:54 IST 2024","","Hotel Search and Filtering","Filter result by properties",""
"","27671","Filter result by properties","","Sat Aug 31 16:43:56 IST 2024","broken","Sat Aug 31 16:44:23 IST 2024","","Hotel Search and Filtering","Filter result by properties",""
"","29340","Runs Cucumber Scenarios","Suite","Sat Aug 31 16:43:54 IST 2024","broken","Sat Aug 31 16:44:23 IST 2024","com.App.Testcases.testrunner","Test","com.App.Testcases.testrunner","runScenario"
"","14520","Trying to register and sign into the account","","Sat Aug 31 16:49:14 IST 2024","passed","Sat Aug 31 16:49:28 IST 2024","","Register and signIn into the Application","Trying to register and sign into the account",""
"","23387","Filter result by properties","","Sat Aug 31 16:43:05 IST 2024","passed","Sat Aug 31 16:43:29 IST 2024","","Hotel Search and Filtering","Filter result by properties",""
"","26329","Filter result by Property","","Sat Aug 31 16:42:13 IST 2024","passed","Sat Aug 31 16:42:39 IST 2024","","Hotel Search and Filtering","Filter result by Property",""
"","0","Runs Cucumber Scenarios","Suite","Sat Aug 31 15:57:43 IST 2024","broken","Sat Aug 31 15:57:43 IST 2024","com.App.Testcases.testrunner","Test","com.App.Testcases.testrunner","runScenario"
"","8059","Verify Booking.com website across different browsers","","Sat Aug 31 16:50:13 IST 2024","passed","Sat Aug 31 16:50:21 IST 2024","","Cross-Browser Testing","Verify Booking.com website across different browsers",""
"","25121","Filter result by Property","","Sat Aug 31 16:51:38 IST 2024","passed","Sat Aug 31 16:52:03 IST 2024","","Hotel Search and Filtering","Filter result by Property",""
"","11","Runs Cucumber Scenarios","Suite","Thu Aug 29 08:11:33 IST 2024","broken","Thu Aug 29 08:11:33 IST 2024","com.App.Testcases.testrunner","Test","com.App.Testcases.testrunner","runScenario"
"","20047","Verify the website layouton different screen sizes","","Sat Aug 31 16:49:46 IST 2024","passed","Sat Aug 31 16:50:06 IST 2024","","Responsive Design Testing","Verify the website layouton different screen sizes",""
"","23198","Filter result by Property","","Sat Aug 31 16:51:14 IST 2024","passed","Sat Aug 31 16:51:37 IST 2024","","Hotel Search and Filtering","Filter result by Property",""
"","4925","Verify Booking.com website across different browsers","","Sat Aug 31 16:50:07 IST 2024","passed","Sat Aug 31 16:50:12 IST 2024","","Cross-Browser Testing","Verify Booking.com website across different browsers",""
"","25835","Filter result by Property","","Sat Aug 31 16:50:47 IST 2024","passed","Sat Aug 31 16:51:13 IST 2024","","Hotel Search and Filtering","Filter result by Property",""
"","9270","Runs Cucumber Scenarios","Suite","Sat Aug 31 16:50:12 IST 2024","passed","Sat Aug 31 16:50:21 IST 2024","com.App.Testcases.testrunner","Test","com.App.Testcases.testrunner","runScenario"
"","20951","Runs Cucumber Scenarios","Suite","Sat Aug 31 16:49:45 IST 2024","passed","Sat Aug 31 16:50:06 IST 2024","com.App.Testcases.testrunner","Test","com.App.Testcases.testrunner","runScenario"
"","20490","Runs Cucumber Scenarios","Suite","Sat Aug 31 16:44:23 IST 2024","broken","Sat Aug 31 16:44:44 IST 2024","com.App.Testcases.testrunner","Test","com.App.Testcases.testrunner","runScenario"
"","5","login with valid crdentials","","Sat Aug 31 16:48:58 IST 2024","broken","Sat Aug 31 16:48:58 IST 2024","","Login With multiple Data","login with valid crdentials",""
"","4","setUpClass","Suite","Sat Aug 31 10:43:36 IST 2024","broken","Sat Aug 31 10:43:36 IST 2024","com.App.Testcases.testrunner","Test","com.App.Testcases.testrunner","setUpClass"
"","19366","Validate search functionality","","Sat Aug 31 16:44:25 IST 2024","broken","Sat Aug 31 16:44:44 IST 2024","","Booking.com UI Testing","Validate search functionality",""
"","13611","Trying to register and sign into the account","","Sat Aug 31 16:48:59 IST 2024","passed","Sat Aug 31 16:49:13 IST 2024","","Register and signIn into the Application","Trying to register and sign into the account",""
"","8","Runs Cucumber Scenarios","Suite","Thu Aug 29 08:17:36 IST 2024","broken","Thu Aug 29 08:17:36 IST 2024","com.App.Testcases.testrunner","Test","com.App.Testcases.testrunner","runScenario"
"","24007","Filter result by properties","","Sat Aug 31 16:42:40 IST 2024","passed","Sat Aug 31 16:43:04 IST 2024","","Hotel Search and Filtering","Filter result by properties",""
